SatzID	Verb	Satz	Annotator A	Annotator B	Annotator C	Annotator D	Annotator E	Annotator F	Annotator G	Annotator H	Annotator I	
tueba-s7430-1	sagen	Ich will gar nicht sagen, ob das besser war, damals, aber stabil war 's eben.	75583	*	*	*	85607	*	*	*	*	
tueba-s7436-1	beginnen	Dabei hatte der Tag eigentlich so schön begonnen.	89970	*	*	*	73680	*	*	*	*	
tueba-s8687-1	erzählen	Suttner hat die Vorgeschichte schon so oft erzählt, daß sie inzwischen wie eine Legende klingt: Vor vielen Jahren sei er bei einem McCartney-Konzert in Dortmund gewesen(' wegen meiner Tochter', so Suttner) und habe am Rande in einem Interview gelesen, daß der Musiker eine ganze Menge selbstgemalter Öl- und Acrylbilder in seiner Garage aufbewahre.	78960	*	*	*	78960	*	*	*	*	
tueba-s9366-0	kaufen	Das selbstgebastelte Medienimperium, wo es nicht nur Benefiz, sondern auch Musik und Fanzine, überteuerte Turnhemdchen und Socken zu kaufen gibt.	*	*	78960	*	78960	*	*	*	*	
tueba-s10214-2	machen	Was bleibt anderes übrig, als verbal auf die Pauke zu hauen und auf uns aufmerksam zu machen?	78848	*	*	*	78848	78848	*	*	*	
tueba-s10302-1	sagen	Das kann man alles so sagen.	85607	*	*	*	85607	*	*	*	*	
tueba-s11160-1	glauben	Wir können uns diese linke Politik, die glaubt, alle Lektionen bereits gelernt zu haben, und unfähig ist, rasch, verläßlich und vielleicht sogar reflektiert neu zu lernen, in der Weltgesellschaft nicht mehr leisten.	83526	*	*	*	83526	*	*	*	*	
tueba-s11747-2	machen	Es sei keine Zeit gewesen, ausreichend Werbung unter den Eltern zu machen.	85607	82751	*	*	82751	*	*	*	*	
tueba-s12005-5	bleiben	Verwunderlich ist bei dieser naßforschen Schnittmenge aus Andy Warhols' Jeder ist ein Künstler' und denen, die des Lesens mächtig sind, daß der Raum und auch das auf einem Schreibtisch festgeklebte Schulheft( mit drei Hilfslinien!), in dem sich natürlich derselbe Satz in Schönschrift wiederfindet, von jeglichem Besuchervandalismus verschont geblieben scheinen.	*	78519	*	*	85607	*	*	*	*	
tueba-s12033-0	erzählen	Gute Geschichten erzählen ist besser, als Special Effects perfekt zu beherrschen: Das Studentenfilmfestival' SehSüchte' in Potsdam	*	78848	*	*	78848	*	*	*	*	
tueba-s12042-1	erzählen	Eine Diskussion im Beiprogramm der Studentenfilmtage der Hochschule für Film und Fernsehen' Konrad Wolf', deren gemeinsamer Nenner das verläßlichste Kriterium für alle 136 Filmbeiträge lieferte: Der verzweifelte Drang, Geschichten erzählen zu wollen, macht den guten Regisseur aus, alles Wissen um Special Effects und Digital Producing kann den miesen Plot nicht retten.	73302	*	*	*	85607	*	*	*	*	
tueba-s12103-2	sagen	' Die Schüler haben einfach Angst, und es fällt ihnen schwer, das zu sagen', berichtet Brian Quinby, Betreuer an einer Internatsschule in der Nähe von Chicago.	*	73584	*	*	73584	*	*	*	*	
tueba-s13256-0	machen	Die Auslassungen von Innensenator Ralf Borttscheller beim Jubiläum des Fachverbandes Bremer Standesbeamter macht sein antiquiertes Verständnis der heutigen Gesellschaft deutlich.	78848	*	*	*	78741	78848	*	*	*	
tueba-s13573-2	beginnen	Ein großer Genuß war es auch, ihn bei Memphis Underground zu hören, das mit einem bossa-artigen Groove begann, um bei einem mitreißenden Funk-Beat zu landen.	*	*	*	*	78741	78741	*	*	*	
tueba-s14790-1	machen	Mit Fußball kann angesichts der Rechtepreise schließlich kein Sender Gewinn machen.	78334	*	*	*	77229	*	*	*	*	
tueba-s15116-1	machen	taz: Was wollen Sie anders machen als Ihr Vorgänger Erhard Laube?	83526	*	*	*	83526	*	*	*	*	
tueba-s15843-2	sagen	' Ein Gesetz allein wird in den Köpfen der Leute nichts ändern', sagt Simone.	83526	*	*	*	83526	*	*	*	*	
tueba-s17377-2	machen	Aber Premier Heath hatte die Wahlen verloren und sich in weiten Teilen seiner Partei wegen seiner Arroganz unbeliebt gemacht.	83526	*	*	*	83406	*	*	*	*	
tueba-s17398-3	mögen	Angsthasen verachtete sie, aber Rebellen erging es meist noch schlechter- sie wechselte sie einfach aus, denn Thatcher mochte es gar nicht, wenn ihr widersprochen wurde.	*	*	*	*	85607	*	82751	*	*	
tueba-s18382-2	sagen	Wohin Handke in seinem Einbaum eigentlich will, ist nicht so ganz klar, obwohl er es vor drei Jahren in seinem Reisebericht' Gerechtigkeit für Serbien' gesagt hat.	77245	77245	*	*	77245	*	*	*	*	
tueba-s19217-0	sagen	Trotzdem sage ich: Das Hauptquartier wäre eine gute Arrondierung des vorhandenen FU-Campus.	76258	*	*	*	76258	76258	76258	*	*	
tueba-s19452-0	glauben	Dann aber glaubt er doch wieder an seinen Traum: eine Marktlücke entdeckt und einen Job zu haben, der auch noch Spaß macht.	*	*	*	*	87005	*	87005	*	*	
tueba-s19918-1	beginnen	Als am 9. November 1989 in Berlin die Mauer fiel, begann auch das Sterben der Nato.	*	82329	*	*	82329	*	*	*	*	
tueba-s21497-0	beginnen	Die Demonstration beginnt um 10 Uhr am S-Bahnhof Hasselbrook und endet gegen 12 Uhr mit einer Kundgebung vor dem Gewerkschaftshaus am Besenbin-derhof.	*	77422	*	*	1	*	*	*	*	
tueba-s22109-0	beginnen	' Er beginnt etwas und bringt es nie zu Ende.'	*	87005	*	*	85607	*	73302	*	*	
tueba-s24097-3	machen	Die Mieter, die also in ihrer Wohnung von Mäusen, Kakerlaken und ähnlichen Kleintieren überrascht werden, können dementsprechend auch die ihnen sonst wegen Mängeln der Mietwohnung zustehenden Rechte geltend machen.	*	83526	*	*	83526	*	*	*	*	
tueba-s24209-0	glauben	Sabine Schröder, Sprecherin der Hotel- und Gaststätteninnung, glaubt, daß die Mauer» ein Selbstläufer« gewesen und in den vergangenen zwei Jahren zu wenig in die Werbung für Berlin investiert worden sei.	77245	*	*	*	77245	*	*	*	*	
tueba-s24247-0	nutzen	Der echte Großstadtfreak jedoch nutzt die Stadt umsonst und draußen.	82764	*	*	*	76087	*	*	*	*	
tueba-s25842-1	machen	Man hat sich fein gemacht: Einer hat ein paar Federn im langen schwarzen Haar, trägt zu seinem Lendenschurz eine Indianerhose.	*	*	*	*	74296	74296	*	*	*	
tueba-s26000-0	suchen	Ziegen suchen in den Müllbergen nach Eßbarem.	78334	*	*	*	77245	*	*	*	*	
tueba-s27010-2	suchen	Nur rund tausend Häftlinge packen schon jetzt ihre Habseligkeiten und dürfen vor dem Feiertag das Weite suchen.	*	129218	*	*	129218	129218	*	*	*	
tueba-s27551-2	machen	- Als jeweils einer von sechs Bezirken der Bundeshauptstadt hätte Mitte, Tiergarten, Wedding, Prenzlauer Berg, Friedrichshain und Kreuzberg ein wesentlich stärkeres Wort in Planungsfragen mitzureden, als wenn sie unter 23 relativ wenig betroffenen Bezirken ihr Recht geltend machen wollen.	89970	*	*	*	89970	*	*	*	*	
tueba-s27684-2	beginnen	Gäbe es in Kani Balav eine Schule, würde dort Ende September das neue Schuljahr beginnen.	*	89969	*	*	73646	*	*	*	*	
tueba-s27836-0	glauben	Wer nun glaubt, die Ukrainians würden die Volksmusik mit der Tradition englischen Pops verquicken, der sie entstammen, muß leider enttäuscht werden.	*	78741	*	*	78848	78848	*	*	*	
tueba-s28159-3	ermöglichen	Der' Investor' müßte bereit sein, die schutzwürdigen Gebäude zu erhalten und eine kulturelle Nutzung zu ermöglichen.	73302	*	*	*	1	*	*	*	*	
tueba-s28334-1	kaufen	Doch die ist dem Senat zu teuer, weil er dafür ein altes Firmengrundstück samt Altlasten kaufen müßte.	73621	*	*	*	73621	73621	*	*	*	
tueba-s28687-0	glauben	' Und wir glauben heut' noch dran.	78519	*	*	*	82751	*	*	*	*	
tueba-s28926-0	bleiben	Nach dem Mord vom Donnerstag in Ostfildern bei Stuttgart bleibt die öffentliche Reaktion gering	75583	*	*	*	75583	*	*	*	*	
tueba-s29090-1	nutzen	Und selbst der beste Anti-Sexismus-Trainingstag wird wenig nutzen, solange die schlimmste Erniedrigung der' drill sergeants' in der Grundausbildung darin besteht, Soldaten als' weibisch',' Sissies' oder schlicht als' woman' zu beschimpfen.	*	*	*	*	78741	78741	*	*	*	
tueba-s29718-0	bleiben	Bliebe es bei der gegenwärtigen Situation, rechnen die Eurokraten lediglich mit einem moderaten Wachstum des Telekomgeschäfts bis zu vier Prozent.	77485	*	*	*	77485	*	*	*	*	
tueba-s30809-0	bleiben	Die Frauen in leitenden Positionen blieben vom sozialen Leben im Betrieb ausgeschlossen, stellten die Studentinnen fest.	*	*	*	*	83526	*	83526	*	*	
tueba-s31582-3	sagen	Nicht in allen Fällen müsse die gesamte Summe zurückgezahlt werden, sagte Rainer Frank, Abteilungsleiter im Bundesausgleichsamt.	*	*	*	*	82751	*	82751	*	*	
tueba-s31927-2	machen	Es wäre naiv, irgendjemanden Glauben machen zu wollen, daß die Benutzung unseres Archivs durch Prof. Glees und die bevorstehende Veröffentlichung der Irving'schen' Rechercheergebnisse' völlig unverbindlich zeitlich zusammengetroffen seien.	*	*	89969	*	89969	*	*	*	*	
tueba-s32167-2	scheinen	Ob die Sondersitzung jedoch vor dem Kabinettsbeschluß überhaupt stattfinden kann, scheint angesichts der augenblicklichen Parlamentsferien mehr als fraglich.	*	*	*	*	73621	73621	*	*	*	
tueba-s32769-1	machen	Die beschreiben halt die Situation, in der sich viele dieser Leute, die diese Musik machen, befinden- etwa in New York oder in Los Angeles.	78848	78741	*	*	78848	*	*	*	*	
tueba-s34078-1	machen	' Gleich jetzt?' fragt der Anwalt und macht sich sofort auf den Weg zum Telefon.	77245	77229	*	*	77245	*	*	*	*	
tueba-s35593-0	sagen	Sagen wir es anders: er sieht nicht aus wie gewohnt.	77229	*	*	*	77229	*	*	*	*	
tueba-s36168-0	lernen	' Ich lernte zu leben'.	75583	*	*	*	87005	*	73302	*	*	
tueba-s36206-0	beginnen	Alles beginnt, so Widmann, damit, daß man gerne Bücher umsonst haben möchte.	*	*	*	*	78741	78741	*	*	*	
tueba-s37292-1	machen	' Wir wollen eine Magazinsendung machen.	78848	*	*	*	78741	78848	*	*	*	
tueba-s38883-0	bleiben	Die Schimmel-Debatte blieb nicht ohne Ergebnis	*	83526	*	*	83526	*	*	*	*	
tueba-s40162-0	scheinen	Er schien drin, gewann die Runden zwei und vier, wo er jeweils drei klare Wirkungstreffer in Maskes Gesicht plazierte, doch dann ging nichts mehr.	*	85607	*	*	82751	87005	*	*	*	
tueba-s40969-2	sagen	Vor allem Mitarbeiter im öffentlichen Dienst hätten sich' aus Angst vor beruflichen Konsequenzen zurückgezogen', sagt Peter Rieger, Fraktionsführer der Reps in der Spandauer BVV.	*	78741	*	*	78848	78741	*	*	*	
tueba-s41678-0	machen	Hamburg macht seine Drohung wahr: Der erste der am Hungerstreik im Abschiebegefängnis in Glasmoor beteiligten Kurden soll am Donnerstag in die Türkei abgeschoben werden.	73621	*	*	*	73621	73621	*	*	*	
tueba-s42049-0	glauben	Polizei glaubt sich den Tätern auf der Spur	78960	*	*	*	78959	*	*	*	*	
tueba-s42412-1	machen	' Sie haben sich hier Aufzeichnungen gemacht?' fragt sie sofort vorwurfsvoll-' Ja, über die lustigen Wimpel und so.'	*	*	*	*	77422	*	82329	*	*	
tueba-s42527-1	glauben	Opel beteuert, Steffi Graf zu glauben, dankt ihr- und kündigt den Werbevertrag	*	83513	*	*	109388	*	*	*	*	
tueba-s43608-3	machen	Eine Firma für Alarmanlagen aus der englischen Grafschaft Warwickshire hat eine neuartige Abschreckung für Autodiebe entwickelt: Wenn sich jemand am Wagen zu schaffen macht, ertönt die Stimme des rechtsradikalen nordirischen Pfarrers und Politikers Ian Paisley- und zwar in einer Lautstärke von 120 Dezibel.	*	83526	*	*	83526	*	*	*	*	
tueba-s45717-0	sagen	Was Behrens dazu sage, so Appel wörtlich,' widerspricht auf jeden Fall dem Geist des Koalitionsvertrages'.	*	77499	*	*	77485	*	*	*	*	
tueba-s45799-1	sagen	Ein Boykott des Tropenholzes in Deutschland bewirke dagegen wenig, sagte Hagen Frost vom Bundeswirtschaftsministerium gestern vor der Wissenschaftspressekonferenz in Bonn.	*	76271	*	*	76271	*	*	*	*	
tueba-s45970-1	beginnen	An dieser Station hatte die Attentatsserie am 25. Juli mit einer Bombe im RER-B begonnen.	*	*	*	*	74296	74296	*	*	*	
tueba-s46169-3	machen	Das Gerede, man habe nichts gewußt, mußte einzig und allein deshalb zum Rettungsanker eines Restes von Selbstachtung gemacht werden, weil der Krieg verloren war.	78519	*	*	*	85607	*	*	*	*	
tueba-s46690-2	sagen	Aber alle Medien und Vereine haben diese Pille geschluckt', sagt Pharma-Boss Maurizio Mian, der behauptet, das Ziel seiner Stiftung sei es,' Solidarität im Sport zu fördern und Intoleranz in der Gesellschaft zu stoppen'.	77485	*	*	*	77485	*	*	*	*	
tueba-s46709-0	scheinen	Veronas Erfolg scheint nur eine Frage der Zeit zu sein.	82329	*	*	*	82329	*	*	*	*	
tueba-s46861-2	erzählen	' Die wollen unbedingt, daß ich ihnen einen Wagner inszeniere', erzählt er mit blitzenden Äuglein.	73680	*	*	*	73680	*	*	*	*	
tueba-s47342-1	suchen	Man muß derzeit schon eine Weile suchen, um überhaupt einen Tisch zu finden.	87005	*	*	*	87005	*	*	*	*	
tueba-s47821-0	lassen	Außerdem ließ sich die Fraktion die Verteilungen von Werbezeitungen rund 12.000 Mark kosten.	78960	78960	*	*	78959	*	*	*	*	
tueba-s47942-0	beginnen	Größer, länger, bunter als bisher: Heute beginnen die 6. Lesbisch-Schwulen Filmtage	83526	*	*	*	83526	*	*	*	*	
tueba-s48069-1	lernen	' Die Jugendlichen sollen lernen, mit der Realität umzugehen', wünscht sich der Drogenfachmann,' an der Abstinenzforderung halten wir nicht mehr fest.'	73621	*	*	*	73621	73621	*	*	*	
tueba-s49074-1	verwenden	Das viele Steuergeld wird doch sinnvoll verwendet.	*	*	*	*	77422	*	77422	*	*	
tueba-s49478-1	kaufen	Wir haben zu einem frühen Zeitpunkt gekauft.	78519	*	*	*	78519	*	78519	*	*	
tueba-s50105-0	machen	Darüber mache ich mir, glaube ich, die meisten Gedanken.	*	75583	*	*	85607	*	*	*	*	
tueba-s51290-0	lernen	Zunächst mal lernte er nämlich: Autoschlosser.	83526	*	*	*	83526	*	*	*	*	
tueba-s51389-0	bleiben	Nur junge Unis bleiben ungeschoren	82751	*	*	*	87005	*	*	*	*	
tueba-s51838-1	suchen	Auch ihre Kunst bedient sich des Blicks auf jene Zeit, in der der Fortschritt in der strikten Logik des rechten Winkels gesucht wurde: Alle arbeiten mit Spielarten des Minimalismus und der Farbfeldmalerei der späten Fünfziger Jahre.	89970	*	*	*	73680	*	*	*	*	
tueba-s51880-0	bleiben	Die blonden Rastalocken der rhythmisch nickenden Schlagzeugerin blieben manchmal noch für einige Sekunden fühlerartig stehen, bevor sie schließlich ins Resthaar zurückfielen.	*	*	*	*	78848	*	78741	*	*	
tueba-s51923-2	machen	Er übernimmt dort den von ihm gegründeten Verlag Metropolitan Books, dessen Ziel es ist, europäische Literatur in den USA bekannter zu machen.	*	*	*	*	83406	*	83406	*	*	
tueba-s52032-0	erzählen	Ein Film, nach dem man sich gerne wieder vorm Einschlafen Märchen erzählen würde.	75583	82751	*	*	85607	*	*	*	*	
tueba-s52358-1	beginnen	' Drob Inn ins Automuseum' lautet die Forderung der Demonstration, die heute um 16 Uhr am Carl-Legien-Platz, gegenüber dem Museum für Kunst und Gewerbe, beginnt.	*	78960	*	*	78959	*	*	*	*	
tueba-s52778-0	sagen	Ein Sprecher der Londoner Atomenergiebehörde sagte, die Versenkung zwischen 1950 und 1963 sei rechtmäßig gewesen, da die betreffende Stelle innerhalb britischer Hoheitsgewässer liege.	73302	*	*	*	73302	*	*	*	*	
tueba-s53455-0	scheinen	Es schien uns einst eine selbstverständliche Forderung, daß die ideologischen Wortführer eines diktatorischen Regimes, die Exekutoren alltäglicher diktatorischer Herrschaft von einer Tätigkeit im öffentlichen Dienst ausgeschlossen würden.	74296	*	*	*	74296	74296	*	*	*	
tueba-s53770-1	suchen	Kontakt zur' Klasse von 95' hat Torch nie gesucht:	78960	*	*	*	78959	*	*	*	*	
tueba-s53874-0	machen	Daß ihre Kleider nicht für Freaks, sondern für Damen gemacht sind, scheint Westwoods Hauptanliegen zu sein.	76258	*	*	*	76258	129218	76258	*	*	
tueba-s54056-1	machen	' Du stellst dich einfach hin wie ein Kerl und machst es wie er.'	*	*	78959	*	78959	*	78960	*	*	
tueba-s54253-1	beginnen	Die bedenkliche Medienkonzentration soll künftig bei 30 Prozent Anteil am Fernsehmarkt beginnen.	75583	*	*	*	85607	*	87005	*	*	
tueba-s54620-2	machen	' Für die Planung- und Finanzsicherheit unserer Kitas brauchen wir Leistungsverträge, die die Finanzierung auf mindestens fünf Jahre festschreiben, um das Risiko kalkulierbarer zu machen', kritisiert die Sprecherin des Deutschen Roten Kreuzes, Susanne Arabi.	77485	*	*	*	77499	*	*	*	*	
tueba-s56269-1	bleiben	So bleibt das dreistündige Spiel bis auf wenige kurze Gewaltausbrüche angenehm minimalistisch-dezent, und es bleibt Christel Leuner vorbehalten, mit sparsamen Gesten und auf einem wunderbar abwesenden Gesicht die Verstörtheit der Süchtigen und den Schrecken der Situation zu zeigen.	75583	*	*	*	87005	*	*	*	*	
tueba-s56488-3	sagen	20 Ausbrüche der Krankheit seien in dem Gebiet bereits registriert worden, sagt Lindemann.	73302	*	*	*	73302	*	*	*	*	
tueba-s57589-0	beginnen	Der Kuhkönig beginnt seinen Ausflug ca. 25 Kilometer südöstlich von Landshut, genauer: in einem Flecken zwischen Vilsbiburg und Eggenfelden, dessen Namen wir hier verschweigen wollen, wo 's indes, soviel sei ausgeplaudert, die qua Eggen kultivierten Felder gibt.	73759	*	*	*	78741	73759	*	*	*	
tueba-s58371-0	machen	Wer sich am Samstag abend auf den Weg zur Breminale machte, ahnte dräuendes Unheil.	78741	78741	*	*	78848	*	*	*	*	
tueba-s60942-0	erzählen	Wie in vielen seiner Filme erzählt Antonioni auch in' Zabriskie Point' von Menschen, die sich in der modernen urbanen Welt nicht zurechtfinden und nach Ausbruchsmöglichkeiten suchen: Revolution, Drogen, Meditation und freie Liebe stehen zur Debatte- das ganze Repertoire dummer Dinge also, mit denen man sich in den späten sechziger Jahren bei Laune hielt.	77422	*	*	*	82329	*	*	*	*	
tueba-s61236-0	machen	' Bridges to Babylon' macht da keine Ausnahme.	87005	*	*	*	85607	*	*	*	*	
tueba-s61807-1	kaufen	Nach Angaben der Börsenhändler in Frankfurt nutzten vor allem Kleinanleger die gefallenen Kurse, um vermeintlich billige Aktien zu kaufen.	83406	*	*	*	83526	*	*	*	*	
tueba-s62796-0	erzählen	Der griechischamerikanische Filmemacher erzählt eine Geschichte der lost soul Cosmo Vittelli( Ben Gazzara), eines Spielers im doppelten Sinn( Geld, Verstellung) und Nachtklubbesitzers, der seine einstürzende Welt mit beständiger Frauenpräsenz im abgefuckten, illusionsgeschwängerten Variete- und Gangstermilieu zu kitten versucht.	*	75583	*	*	87005	*	*	*	*	
tueba-s63887-2	nutzen	Der erste Mai ist ja ein Plagiat der Nazis von der Arbeiterbewegung, das übernahm man und nutzte es für seine Zwecke.	*	85607	*	*	75583	*	*	*	*	
tueba-s63921-0	erzählen	Die Nutten erzählten uns dann in der Kneipe, daß sie ganz kaputt gewesen wären.	78960	*	*	*	78959	*	*	*	*	
tueba-s63941-1	machen	Der stand immer in Weimar am Bahnsteig, und ich machte mich auffällig.	*	77422	*	*	82329	*	82329	*	*	
tueba-s64340-3	lernen	Sie haben damit auch die Bibliothek geschlossen und im Endeffekt auch die meisten Studenten motiviert, zu Hause zu lernen.	89969	*	*	*	89969	*	*	*	*	
tueba-s64778-0	machen	Interne Querelen machen dem Berliner Landesamt für Verfassungsschutz derzeit mehr zu schaffen als der Zwischenbericht des Parlamentarischen Untersuchungsausschusses, der morgen im Abgeordnetenhaus diskutiert werden soll/' Enthüllungen' sind nicht zu erwarten	78960	78959	78960	*	78959	*	*	*	*	
tueba-s64922-4	machen	Mein Bild hielten sie fest und ich konnte mich darin nicht als weiblicher Mensch erweisen, dem der Tod eines Gefangenen schwer zu schaffen machte.	129218	129218	*	*	76258	76258	*	*	*	
tueba-s65054-1	sagen	2 Ich konnte mir sagen, meine Bücher waren nicht gut- aber die Norweger, die Finnen, die Franzosen, Engländer, Italiener übersetzten sie, nur die Deutschen nicht.	74296	*	*	*	74296	74296	*	*	*	
tueba-s65537-1	sagen	In einem anderen Gespräch haben Sie gesagt, daß Sie mit Chabrol darin übereinstimmten, daß die Rolle nicht allzu ausführlich erklärt werden sollte.	*	*	*	*	73621	73621	*	*	*	
tueba-s65619-0	suchen	Und dann suche ich Rollen fürs Kino.	77422	*	*	*	82329	*	82329	*	*	
tueba-s65976-2	machen	in ihnen haben wir unsere identität im kampf verteidigt und uns die kollektivität in der vereinzelung immer wieder lebendig gemacht.	*	*	*	*	78741	*	78741	*	*	
tueba-s66193-0	beginnen	Mit demonstrativem Ernst und gemeinsamen Gedenken an die Judenpogrome der Nazizeit begannen die rot-grünen Gespräche/ Momper( SPD):' Große Koalition nicht mein Wunschtraum'/ Wolf( AL): AL will weder' parteiegoistisch' sein noch' Machtspiele betreiben'	73302	*	*	*	82751	*	*	*	*	
tueba-s67749-1	machen	Amnesty international ist der Auffassung, daß die vage Formulierung der Gesetzestexte sowie die Tatsache, daß Informationen über die Anwendung von Gesetzen der Öffentlichkeit nicht zugänglich gemacht werden, es den Bürgern der DDR erschweren, eine Unterscheidung zwischen gesetzlichen und ungesetzlichen Handlungen zu treffen.	*	*	*	*	73621	73621	*	*	*	
tueba-s67765-1	machen	Und nun geh mir aus den Augen und mach nicht so ein unterwürfiges Gesicht; das steht dir absolut nicht.`	77245	*	*	*	77229	*	*	*	*	
tueba-s68509-3	erzählen	Über das Abkommen der Präsidenten ist sie zwar nur sehr oberflächlich informiert, aber' wenn es stimmt, was man erzählt und die Sandinisten ihr Wort halten, dann möchte ich zurück nach Chinandega'.	73759	78741	*	*	78848	*	*	*	*	
tueba-s69283-2	suchen	Verbirgt sich hinter der' neutralen' Erzählposition eigentlich ein moralischer Anspruch- viele Rezensenten scheinen danach zu suchen.	78959	*	*	*	78959	*	*	*	*	
tueba-s71800-1	machen	Wir scheuen auch nicht davor zurück, aus seinem Schreibtisch eine kleine, künstlerisch gestaltete Filiale der Sozialen Plastik Villa Schilla zu machen'.	*	*	73680	*	89970	*	*	*	*	
tueba-s71870-2	bleiben	Ein gerechter Friedensschluß war nicht zu erreichen, und so bleibt keine andere Möglichkeit, als bis zum bitteren Ende zu kämpfen.	*	139620	*	*	73264	*	*	*	*	
tueba-s72596-3	erzählen	' Am Eingang saß neben den Burensoldaten ein Pakistaner, dem ich mein Anliegen vorgetragen habe', erzählt er mit bitterer Ironie.	73680	*	*	*	89969	*	73680	*	*	
tueba-s72655-3	machen	Und was machen die jungen KünstlerInnen, die an der Kultur teilnehmen wollen, die das öffentlich machen, aber nicht in die ersehnten Orte reinkommen?	73302	78519	*	*	85607	*	*	*	*	
tueba-s74634-0	nutzen	Doch auch ein so geschaffenes Überzahlspiel nutzen die Schweden nicht, um den Puck ins gegnerische Netz zu schleudern.	*	109388	*	*	109386	*	*	*	*	
tueba-s76394-4	kaufen	Man könnte, überlegt sie, die Ernteeinnahmen in diesem Jahr dazu verwenden, um die allernötigsten Dinge wie Salz und Kerosin in großen Mengen zu beschaffen und gleichzeitig Saatgut für verschiedene Gemüsesorten zu kaufen.	73621	*	*	*	73621	73621	*	*	*	
tueba-s76505-0	scheinen	An einem Punkt scheinen Sie allerdings ziemlich festgelegt zu sein.	*	*	*	*	78959	78960	*	*	*	
tueba-s77101-0	suchen	Hilflos sucht er den Blickkontakt zum Lehrer und sagt dann:	87005	*	*	*	87005	*	*	*	*	
tueba-s77230-0	sagen	Aber ich sage, daß die Bundesregierung durch ihr dilettantisches Vorgehen und durch den Mangel an grundsätzlichen Positionen eher dazu beigetragen hat, die amerikanischen Auffassungen in diesen Fragen zu verhärten, statt sie nach vorne zu bringen.	89969	*	*	*	89970	*	*	*	*	
tueba-s77800-1	machen	Als' Fall' hat er Karriere gemacht.	109385	*	*	*	73732	*	*	*	*	
tueba-s78899-0	scheinen	Wenn es auch anfänglich so schien, als hätten die reformerischen Kräfte in der KP die Oberhand gewonnen, so wurde doch die Machtfülle der konservativen Veteranen unterschätzt, die auf Senorität und feudalistischem Gehorsam gründet.	*	*	*	*	78959	78960	*	*	*	
tueba-s79078-2	sagen	' Ich wollte auch nicht so lange arbeiten', sagt eine Frau.	75583	78519	*	*	85607	*	*	*	*	
tueba-s79510-0	erzählen	Einmal, während eines Spaziergangs durch Kreuzberg, erzählte ihm der Freund die Geschichte seines Vaters, der in Norwegen bei einem englischen Bombenangriff ums Leben gekommen ist.	*	77485	*	*	77485	77485	*	*	*	
tueba-s79654-0	glauben	' Ich glaube, die tatsächlichen Auswirkungen des Thatcherismus werden wir erst in einigen Jahren beurteilen können.	*	83526	*	*	83526	*	*	*	*	
tueba-s79971-1	sagen	Der darf dann noch sagen, daß wir doch alle gut drauf sind und deshalb keine Angst vor Europa zu haben brauchen.	145239	*	*	*	83406	*	*	*	*	
tueba-s80193-1	erzählen	Dieser Augenblick im ersten Akt zum Beispiel, als in die exaltierte Wehmut von Ljubow Andrejewanas Ankunft, in all die hastigen Erwägungen über die Zukunft des Kirschgartens hinein der greise Diener Firs tritt und, wie im Märchen, von den Zeiten erzählt, als man noch die gedörrten Kirschen nach Moskau gebracht hat.	*	*	*	*	73680	*	89970	*	*	
tueba-s80880-2	bleiben	Eine besonders perfide Zumutung war die zur Geschlechts- und Altersbezeichnung der Passagiere verwendete Differenzierung Ms./ Mrs.- in Nordamerika schon längst abgeschafft-, wonach eine Frau von der Wiege bis zur Bahre eine Miss bleibt, wenn sie nicht einem Mann angehört; während ein Junge bis zum zwölften Lebensjahr Master ist und danach, wenn er voll bezahlen muß, automatisch zum Mister avanciert.	*	75484	*	*	82722	*	*	*	*	
tueba-s80911-1	geben	Nach dem Landesmediengesetz soll dem Anbieter der Vorzug gegeben werden, der die' örtlichen Interessen aus dem kulturellen Bereich' berücksichtigt.	*	*	*	*	83526	83526	*	*	*	
tueba-s81618-0	bleiben	Blieb die Auseinandersetzung mit der Polizei bis dahin im erwarteten Rahmen, änderte sich das schlagartig, als ein Festnahmekommando von etwa 30 Mann des SEK in martialischer Aufmachung auf dem Schauplatz erschien.	89970	*	*	*	73680	*	*	*	*	
tueba-s81809-4	machen	Noch in dieser Woche, so ordnete es Verwaltungsleiter Heini Neher an, muß die Station mit bislang 30 Kindern geräumt werden, um 28 Chronikern aus dem Uniklinikum Platz zu machen( die taz berichtete).	*	*	*	*	74296	74296	*	*	*	
tueba-s81844-1	machen	Aber die Entwicklungen in Mitteleuropa scheinen sich auch in Skandinavien zunehmend bemerkbar zu machen.	74296	74296	*	*	74296	74296	*	*	*	
tueba-s81867-2	lassen	Wer seinen Wohnsitz nicht in Zug errichten will, der läßt einen Strohmann Telex-Meldungen empfangen, Briefe verschicken oder Verträge unterzeichnen, um als' Schweizer Firma' Steuern zu sparen.	*	76442	*	*	76442	*	*	*	*	
tueba-s82627-1	machen	' Ich habe Hunderte von Eingaben an die Militärstaatsanwaltschaft wegen Folterungen an Mandanten gemacht.	78741	78741	*	*	78848	*	*	*	*	
tueba-s82749-0	scheinen	Die parallelen Biographien beider vom Kommunismus hervorgebrachten Politiker, von denen es zeitweise schien, als regierten sie beide zusammen im Geist der Reform Ungarn, trennten sich an einem historisch entscheidenden Punkt.	78519	*	*	*	82751	85607	*	*	*	
